filename,title,artist,genre
"AKMU (악뮤)_어떻게 이별까지 사랑하겠어, 널 사랑하는 거지.mp3","어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),Ballad
ATEEZ (에이티즈)_BAD.mp3,BAD,ATEEZ (에이티즈),Dance
Ariana Grande_hate that i made you love me.mp3,hate that i made you love me,Ariana Grande,Pop
BIG Naughty (서동현)_Vancouver.mp3,Vancouver,BIG Naughty (서동현),Soul
BIG Naughty (서동현)_노스탈지아.mp3,노스탈지아,BIG Naughty (서동현),Rap
CORTIS (코르티스)_REDRED.mp3,REDRED,CORTIS (코르티스),Dance
Hearts2Hearts (하츠투하츠)_FOCUS.mp3,FOCUS,Hearts2Hearts (하츠투하츠),Dance
Hearts2Hearts (하츠투하츠)_ICONIC HEART.mp3,ICONIC HEART,Hearts2Hearts (하츠투하츠),Pop
Hearts2Hearts (하츠투하츠)_Lemon Tang.mp3,Lemon Tang,Hearts2Hearts (하츠투하츠),Dance
Hearts2Hearts (하츠투하츠)_Moonride.mp3,Moonride,Hearts2Hearts (하츠투하츠),Dance
Hearts2Hearts (하츠투하츠)_RUDE!.mp3,RUDE!,Hearts2Hearts (하츠투하츠),Dance
Hearts2Hearts (하츠투하츠)_STYLE.mp3,STYLE,Hearts2Hearts (하츠투하츠),Dance
Hearts2Hearts (하츠투하츠)_The Chase.mp3,The Chase,Hearts2Hearts (하츠투하츠),Dance
KiiiKiii (키키)_404 (New Era).mp3,404 (New Era),KiiiKiii (키키),Dance
KiiiKiii (키키)_Candy Pink Magic Hole Flip Phone (나 어떡해).mp3,Candy Pink Magic Hole Flip Phone (나 어떡해),KiiiKiii (키키),Dance
KiiiKiii (키키)_Pop Off Pop Off.mp3,Pop Off Pop Off,KiiiKiii (키키),Dance
NOWIMYOUNG (나우아임영) & Royal 44_KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki).mp3,KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki),NOWIMYOUNG (나우아임영) & Royal 44,Rap
NewJeans_Attention.mp3,Attention,NewJeans,Dance
NewJeans_How Sweet.mp3,How Sweet,NewJeans,Dance
NewJeans_Hype Boy.mp3,Hype Boy,NewJeans,Dance
OFFICIAL HIGE DANDISM_Pretender.mp3,Pretender,OFFICIAL HIGE DANDISM,Pop
Post Malone & Swae Lee_Sunflower (Spider-Man _ Into The Spider-Verse).mp3,Sunflower (Spider-Man : Into The Spider-Verse),Post Malone & Swae Lee,Anime
RESCENE (리센느)_Deja Vu.mp3,Deja Vu,RESCENE (리센느),Dance
RESCENE (리센느)_LOVE ATTACK.mp3,LOVE ATTACK,RESCENE (리센느),Pop
RESCENE (리센느)_Pinball.mp3,Pinball,RESCENE (리센느),Pop
RESCENE (리센느)_Pretty Girl.mp3,Pretty Girl,RESCENE (리센느),Dance
RESCENE (리센느)_Runaway.mp3,Runaway,RESCENE (리센느),Dance
Red Velvet (레드벨벳)_Surfin' Boy.mp3,Surfin' Boy,Red Velvet (레드벨벳),Dance
Shane_없어.mp3,없어,Shane,Soul
TUIDE (튜이드)_GRLS.mp3,GRLS,TUIDE (튜이드),Dance
TUIDE (튜이드)_SUN KISS.mp3,SUN KISS,TUIDE (튜이드),Soul
aespa_LEMONADE.mp3,LEMONADE,aespa,Electronic
aespa_Next Level.mp3,Next Level,aespa,Dance
aespa_Whiplash.mp3,Whiplash,aespa,Dance
wave to earth_사랑으로.mp3,사랑으로,wave to earth,Rock
검정치마_Antifreeze.mp3,Antifreeze,검정치마,Indie
검정치마_EVERYTHING.mp3,EVERYTHING,검정치마,Indie
검정치마_Ling Ling.mp3,Ling Ling,검정치마,Rock
검정치마_한시 오분 (1_05).mp3,한시 오분 (1:05),검정치마,Rock
김하온 (HAON)_Skrr (Feat. 지젤 of aespa).mp3,Skrr (Feat. 지젤 of aespa),김하온 (HAON),Rap
너드커넥션 (Nerd Connection)_그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)).mp3,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),Ballad
데이먼스 이어 (Damons year)_yours.mp3,yours,데이먼스 이어 (Damons year),Indie
