filename,title,artist,genre,min_hz,max_hz_raw,max_hz_p98
"AKMU (악뮤)_어떻게 이별까지 사랑하겠어, 널 사랑하는 거지.mp3","어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),Ballad,171.57988474835088,883.1372197092406,524.5119909669544
ATEEZ (에이티즈)_BAD.mp3,BAD,ATEEZ (에이티즈),Dance,165.89689633803238,939.5195448404097,758.2106021043924
Ariana Grande_hate that i made you love me.mp3,hate that i made you love me,Ariana Grande,Pop,175.26895306463922,560.0821107992788,467.260842448065
BIG Naughty (서동현)_Vancouver.mp3,Vancouver,BIG Naughty (서동현),Soul,73.4604446903056,558.2294739475697,332.40028273761055
BIG Naughty (서동현)_노스탈지아.mp3,노스탈지아,BIG Naughty (서동현),Rap,110.0194962428751,699.5167625593838,348.4404838806348
CORTIS (코르티스)_REDRED.mp3,REDRED,CORTIS (코르티스),Dance,145.14315047169862,601.2944300888541,391.6091343350559
Hearts2Hearts (하츠투하츠)_FOCUS.mp3,FOCUS,Hearts2Hearts (하츠투하츠),Dance,175.53829834789337,883.5380542510238,469.4170727254071
Hearts2Hearts (하츠투하츠)_ICONIC HEART.mp3,ICONIC HEART,Hearts2Hearts (하츠투하츠),Pop,146.08800657965415,881.4283488213889,554.8589567604058
Hearts2Hearts (하츠투하츠)_Lemon Tang.mp3,Lemon Tang,Hearts2Hearts (하츠투하츠),Dance,189.81565425456833,776.6279086811701,659.4111501053524
Hearts2Hearts (하츠투하츠)_Moonride.mp3,Moonride,Hearts2Hearts (하츠투하츠),Dance,194.86702786600296,882.9765908143237,524.0456626675384
Hearts2Hearts (하츠투하츠)_RUDE!.mp3,RUDE!,Hearts2Hearts (하츠투하츠),Dance,182.20611647262783,920.2010140352386,658.7647674353803
Hearts2Hearts (하츠투하츠)_STYLE.mp3,STYLE,Hearts2Hearts (하츠투하츠),Dance,218.2427060227444,931.260887437288,527.2300316714134
Hearts2Hearts (하츠투하츠)_The Chase.mp3,The Chase,Hearts2Hearts (하츠투하츠),Dance,180.23684932436885,702.3329600632496,523.8322635838251
KiiiKiii (키키)_404 (New Era).mp3,404 (New Era),KiiiKiii (키키),Dance,183.46255755400395,626.5629530042994,521.5539381056725
KiiiKiii (키키)_Candy Pink Magic Hole Flip Phone (나 어떡해).mp3,Candy Pink Magic Hole Flip Phone (나 어떡해),KiiiKiii (키키),Dance,154.72882928376347,833.3690846672256,416.04066454115804
KiiiKiii (키키)_Pop Off Pop Off.mp3,Pop Off Pop Off,KiiiKiii (키키),Dance,146.28574210177635,835.204274818401,392.5713468198977
NOWIMYOUNG (나우아임영) & Royal 44_KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki).mp3,KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki),NOWIMYOUNG (나우아임영) & Royal 44,Rap,146.48852977204237,525.1009826717282,466.8464005610749
NewJeans_Attention.mp3,Attention,NewJeans,Dance,183.30687406011742,706.9966112023923,470.6469577298924
